date,scheme,block,chainage_m,elevation_m,pipe_diameter_mm,pipe_material,pipe_length_m,flow_lps,expected_pressure_m,measured_pressure_m,number_of_offtakes,irrigation_duration_hr,pressure_difference_m,estimated_head_loss_m,hydraulic_status
2024-01-01,Embu Green,H,4343.2,987.8,90,PVC,139.5,3.25,53.85,56.38,1,1.74,2.53,0.0,High Pressure
2024-01-01,Mwea Smallholder,H,245.1,1172.0,63,PVC,591.6,4.33,35.18,39.29,1,1.52,4.11,0.0,Normal
2024-01-01,Kibugu-Nguviu,F,1396.7,1079.6,40,PVC,86.5,4.04,49.69,46.06,8,5.71,-3.63,3.63,Normal
2024-01-01,Kibugu-Nguviu,E,601.9,1198.1,32,PVC,199.0,6.19,40.45,35.4,6,3.64,-5.05,5.05,Normal
2024-01-01,Embu Green,C,1910.7,1212.9,75,PVC,104.8,4.71,38.55,31.26,10,2.92,-7.29,7.29,Normal
2024-01-01,Kibugu-Nguviu,H,2906.1,1110.8,40,PVC,560.1,7.36,42.58,41.08,11,3.52,-1.5,1.5,Normal
2024-01-01,Runyenjes East,H,3351.6,1285.2,50,HDPE,481.9,3.71,35.49,32.98,11,3.42,-2.51,2.51,Normal
2024-01-01,Kibugu-Nguviu,F,4139.7,1112.7,63,PVC,258.5,4.62,45.99,39.34,8,7.97,-6.65,6.65,Normal
2024-01-01,Runyenjes East,E,4479.6,1196.2,90,HDPE,231.4,5.05,39.72,33.12,4,3.32,-6.6,6.6,Normal
2024-01-01,Embu Green,F,2240.8,1061.3,63,HDPE,57.6,7.75,50.7,60.72,9,0.93,10.02,0.0,High Pressure
2024-01-01,Embu Green,G,4107.8,1294.8,40,HDPE,132.3,6.91,35.99,36.49,10,0.97,0.5,0.0,Normal
2024-01-01,Kibugu-Nguviu,E,4284.3,1272.1,50,PVC,60.7,3.36,34.84,22.69,4,2.95,-12.15,12.15,Normal
2024-01-02,Runyenjes East,C,2590.1,1267.8,50,PVC,632.6,5.59,29.24,30.53,7,7.66,1.29,0.0,Normal
2024-01-02,Runyenjes East,D,4556.1,1220.8,90,GI,377.8,5.11,43.74,37.8,4,6.09,-5.94,5.94,Normal
2024-01-02,Kibugu-Nguviu,G,4216.6,1321.6,50,GI,751.1,5.27,31.68,18.46,11,5.97,-13.22,13.22,Normal
2024-01-02,Runyenjes East,B,1972.9,1005.3,40,PVC,488.4,4.42,43.86,35.15,9,4.16,-8.71,8.71,Normal
2024-01-02,Mwea Smallholder,D,2484.6,982.4,32,GI,701.2,4.25,46.86,48.12,1,4.25,1.26,0.0,Normal
2024-01-03,Runyenjes East,E,1247.3,1221.6,25,HDPE,426.6,4.31,40.91,38.14,4,1.57,-2.77,2.77,Normal
2024-01-03,Runyenjes East,E,630.5,1267.4,25,HDPE,96.4,4.8,37.16,38.53,1,4.47,1.37,0.0,Normal
2024-01-03,Mwea Smallholder,H,1910.9,1234.5,75,GI,204.6,2.38,38.44,31.82,1,2.13,-6.62,6.62,Normal
2024-01-03,Mwea Smallholder,E,1209.5,962.7,40,PVC,546.7,6.7,45.88,34.45,5,2.77,-11.43,11.43,Normal
2024-01-03,Embu Green,G,415.7,1118.5,63,HDPE,238.6,6.17,47.6,43.32,5,4.58,-4.28,4.28,Normal
2024-01-03,Kibugu-Nguviu,D,1269.6,1246.0,63,PVC,191.1,2.7,37.62,35.16,1,0.71,-2.46,2.46,Normal
2024-01-04,Mwea Smallholder,E,2064.7,1294.9,63,PVC,334.6,9.24,37.42,39.15,8,5.95,1.73,0.0,Normal
2024-01-04,Kibugu-Nguviu,E,4511.7,1010.3,90,PVC,619.9,2.56,45.57,44.64,5,5.65,-0.93,0.93,Normal
2024-01-04,Runyenjes East,C,3710.4,1185.8,40,PVC,401.1,2.58,36.19,32.8,7,6.29,-3.39,3.39,Normal
2024-01-04,Mwea Smallholder,E,1101.1,961.2,50,PVC,71.6,6.08,54.36,51.46,8,5.16,-2.9,2.9,High Pressure
2024-01-04,Kibugu-Nguviu,D,2273.0,1122.4,40,PVC,145.7,3.16,42.05,35.44,1,2.75,-6.61,6.61,Normal
2024-01-04,Runyenjes East,B,1793.8,1148.3,25,HDPE,449.0,3.72,37.68,35.75,2,2.33,-1.93,1.93,Normal
2024-01-05,Kibugu-Nguviu,C,1144.7,1220.0,90,PVC,484.3,4.62,42.72,29.36,10,6.1,-13.36,13.36,Normal
2024-01-05,Mwea Smallholder,E,917.2,1315.5,50,PVC,666.2,3.87,28.48,29.09,4,2.89,0.61,0.0,Normal
2024-01-05,Runyenjes East,H,3633.5,985.1,50,PVC,558.5,5.87,49.51,46.55,7,6.75,-2.96,2.96,Normal
2024-01-05,Runyenjes East,G,523.3,1219.4,63,PVC,772.7,3.51,36.19,37.22,7,1.72,1.03,0.0,Normal
2024-01-05,Kibugu-Nguviu,C,2990.5,1310.2,63,PVC,435.5,8.09,36.79,31.2,5,7.26,-5.59,5.59,Normal
